mvelX,mvelY,posX,posY,distance,i
-735.192,711.505,7.08578e+08,7.85986e+08,8.06744e+07,83
-366.818,812.951,7.03113e+08,7.93782e+08,1.05794e+08,84
-102.484,790.903,7.00904e+08,8.01854e+08,1.30008e+08,85
48.3258,740.534,7.00695e+08,8.09531e+08,1.52415e+08,86
146.419,687.82,7.01702e+08,8.16678e+08,1.73375e+08,87
215.7,637.98,7.03533e+08,8.23312e+08,1.93038e+08,88
267.329,591.932,7.05963e+08,8.29466e+08,2.11481e+08,89
307.288,549.518,7.08846e+08,8.35173e+08,2.28759e+08,90
339.146,510.248,7.12087e+08,8.40472e+08,2.44946e+08,91
365.11,473.654,7.15615e+08,8.45392e+08,2.60098e+08,92
386.661,439.274,7.19384e+08,8.49962e+08,2.74271e+08,93
404.77,406.789,7.23349e+08,8.54196e+08,2.87493e+08,94
420.141,375.91,7.27477e+08,8.5811e+08,2.99786e+08,95
433.315,346.325,7.31752e+08,8.61723e+08,3.112e+08,96
444.661,317.849,7.36146e+08,8.65045e+08,3.21746e+08,97
454.483,290.248,7.4065e+08,8.6809e+08,3.31456e+08,98
462.988,263.401,7.45242e+08,8.7086e+08,3.40329e+08,99
470.356,237.139,7.49913e+08,8.73363e+08,3.48384e+08,100
476.721,211.334,7.5465e+08,8.75605e+08,3.55628e+08,101
482.193,185.828,7.59451e+08,8.77593e+08,3.62074e+08,102
486.85,160.518,7.64304e+08,8.79327e+08,3.67719e+08,103
490.75,135.309,7.69197e+08,8.80808e+08,3.72556e+08,104
493.942,110.054,7.74129e+08,8.82036e+08,3.76585e+08,105
496.451,84.675,7.79087e+08,8.83011e+08,3.79793e+08,106
498.296,59.0477,7.84065e+08,8.8373e+08,3.82168e+08,107
499.48,33.0366,7.89058e+08,8.84191e+08,3.83697e+08,108
499.994,6.4881,7.94065e+08,8.84389e+08,3.84355e+08,109
499.815,-20.3117,7.99072e+08,8.8432e+08,3.84123e+08,110
498.955,-46.5572,8.04072e+08,8.83985e+08,3.83009e+08,111
497.429,-72.3762,8.09064e+08,8.83389e+08,3.81036e+08,112
495.245,-97.8474,8.14029e+08,8.82537e+08,3.78227e+08,113
492.386,-123.16,8.18977e+08,8.8143e+08,3.74589e+08,114
488.837,-148.359,8.23886e+08,8.80072e+08,3.70142e+08,115
484.555,-173.609,8.28759e+08,8.7846e+08,3.64885e+08,116
479.484,-199.022,8.33589e+08,8.76594e+08,3.5882e+08,117
473.563,-224.669,8.38359e+08,8.74475e+08,3.51959e+08,118
466.685,-250.735,8.4307e+08,8.72093e+08,3.44281e+08,119
458.749,-277.282,8.47702e+08,8.69452e+08,3.35801e+08,120
449.584,-304.51,8.52251e+08,8.66539e+08,3.26491e+08,121
439.003,-332.548,8.56701e+08,8.6335e+08,3.16346e+08,122
426.747,-361.585,8.61037e+08,8.59875e+08,3.05345e+08,123
412.493,-391.804,8.65236e+08,8.56109e+08,2.93479e+08,124
395.77,-423.494,8.69285e+08,8.52028e+08,2.80701e+08,125
375.955,-456.961,8.73156e+08,8.47617e+08,2.66972e+08,126
352.267,-492.431,8.76802e+08,8.4287e+08,2.52298e+08,127
323.437,-530.39,8.80189e+08,8.37752e+08,2.36602e+08,128
287.699,-571.242,8.83253e+08,8.32242e+08,2.19851e+08,129
242.186,-615.535,8.85915e+08,8.26302e+08,2.01961e+08,130
182.362,-663.558,8.88054e+08,8.19905e+08,1.82898e+08,131
100.053,-715.118,8.89489e+08,8.13013e+08,1.62586e+08,132
-20.9975,-767.827,8.89926e+08,8.05592e+08,1.4091e+08,133
-219.193,-809.872,8.88813e+08,7.97669e+08,1.17638e+08,134
-551.267,-784.789,8.85035e+08,7.89586e+08,9.23647e+07,135
-939.487,-545.536,8.77573e+08,7.82644e+08,7.02603e+07,136
-1112.48,177.581,8.66842e+08,7.8036e+08,6.43335e+07,137
-783.882,682.095,8.57159e+08,7.85128e+08,7.79277e+07,138
-408.769,809.794,8.51235e+08,7.92786e+08,1.02669e+08,139
-126.877,796.091,8.48691e+08,8.00879e+08,1.27164e+08,140
33.1715,747.046,8.4829e+08,8.08608e+08,1.49737e+08,141
136.102,694.175,8.49172e+08,8.15823e+08,1.70873e+08,142
208.142,643.931,8.50914e+08,8.22514e+08,1.9068e+08,143
261.55,597.436,8.53279e+08,8.28723e+08,2.09265e+08,144
302.753,554.581,8.56112e+08,8.34486e+08,2.26691e+08,145
335.503,514.92,8.59314e+08,8.39839e+08,2.43028e+08,146
362.094,478.041,8.62807e+08,8.44802e+08,2.583e+08,147
384.109,443.451,8.66543e+08,8.49409e+08,2.72579e+08,148
402.603,410.758,8.70485e+08,8.53684e+08,2.85917e+08,149
